zip,Total,Percentage
20874,62,9.41
20852,56,8.5
20906,51,7.74
20877,50,7.59
20850,43,6.53
20878,43,6.53
20902,40,6.07
20904,40,6.07
20910,31,4.7
20886,25,3.79
20876,22,3.34
20853,20,3.03
20879,20,3.03
20901,19,2.88
20817,18,2.73
20871,14,2.12
20895,14,2.12
20855,12,1.82
20814,10,1.52
20854,8,1.21
20872,8,1.21
20882,8,1.21
20815,6,0.91
20851,6,0.91
20903,6,0.91
20866,5,0.76
20816,4,0.61
20905,4,0.61
20841,3,0.46
20832,2,0.3
20837,2,0.3
20860,2,0.3
20707,1,0.15
20833,1,0.15
20861,1,0.15
20889,1,0.15
21794,1,0.15
